FileName,Date,Time,R040,R030,R031,R032,R033,R034,R042,R039,R035,R036,S035,S034,S033,S026,S027,S028,S029
A_08_G272 21-12-14 12.00.18.Acc,14/12/2021,11:12,42.43,2.83,0.97,7.94,25.64,-3.84,0.00,0.00,0.00,0.00,506.50,109.90,109.90,0.00,196.21,98.84,0.08
A_08_G272 21-12-15 00.00.18.Acc,15/12/2021,0:00,54.25,2.44,0.00,12.86,2.82,1.71,0.00,0.00,0.00,0.00,559.97,3142.33,3142.33,0.00,197.98,128.92,0.22
A_08_G272 21-12-15 12.00.18.Acc,15/12/2021,11:24,54.39,2.53,0.00,12.34,3.26,1.62,0.00,0.00,0.00,0.00,571.79,2602.51,2602.51,0.00,231.48,130.63,5.00
A_08_G272 21-12-16 00.00.18.Acc,16/12/2021,0:00,56.02,2.40,-0.06,13.28,2.92,1.91,0.00,0.00,0.00,0.00,559.89,1818.83,1818.83,0.00,204.20,126.27,2.23
A_08_G272 21-12-16 12.00.17.Acc,16/12/2021,12:00,56.33,2.88,-0.21,13.82,5.51,1.98,0.00,0.00,0.00,0.00,485.84,508.14,508.14,0.00,199.25,97.81,8.35
A_08_G272 21-12-17 00.00.17.Acc,16/12/2021,22:42,55.65,2.61,-0.12,13.08,3.13,1.86,0.00,0.00,0.00,0.00,570.01,1840.17,1840.17,0.00,200.59,125.24,2.99
A_08_G272 21-12-17 12.00.16.Acc,17/12/2021,9:56,56.71,2.29,-0.12,13.68,2.11,1.99,0.00,0.00,0.00,0.00,605.49,1311.86,1311.86,0.00,231.48,137.79,5.25
A_08_G272 21-12-18 00.00.16.Acc,17/12/2021,16:36,55.64,2.47,-0.18,14.29,3.34,2.06,0.00,0.00,0.00,0.00,597.13,1004.07,1004.07,0.00,201.43,134.65,1.61
A_08_G272 21-12-22 00.00.14.Acc,22/12/2021,0:00,56.45,2.50,-0.16,14.68,5.03,1.92,0.00,0.00,0.00,0.00,566.77,357.99,357.99,0.00,192.04,122.62,1.93
A_08_G272 21-12-22 12.00.13.Acc,22/12/2021,4:53,57.07,2.34,-0.13,13.66,3.06,1.97,0.00,0.00,0.00,0.00,565.63,1527.57,1527.57,0.00,194.79,126.49,2.58
A_08_G272 21-12-23 00.00.13.Acc,23/12/2021,0:00,55.15,2.24,-0.14,14.60,2.12,2.08,0.00,0.00,0.00,0.00,592.40,2237.53,2237.53,0.00,231.48,134.29,0.37
A_08_G272 21-12-23 12.00.13.Acc,23/12/2021,11:59,56.64,2.47,-0.24,13.14,3.06,2.04,0.00,0.00,0.00,0.00,606.90,1918.65,1918.65,0.00,207.65,136.11,2.35
A_08_G272 21-12-24 00.00.13.Acc,24/12/2021,0:00,57.42,2.24,0.01,13.10,2.31,1.92,0.00,0.00,0.00,0.00,581.84,1313.74,1313.74,0.00,202.71,131.87,1.68
A_08_G272 21-12-24 12.00.12.Acc,24/12/2021,12:00,57.34,2.07,0.05,13.66,1.39,1.92,0.00,0.00,0.00,0.00,595.12,2721.29,2721.29,0.00,231.48,136.64,12.64
A_08_G272 21-12-25 00.00.12.Acc,24/12/2021,22:53,56.33,2.57,-0.09,12.38,2.89,1.85,0.00,0.00,0.00,0.00,577.32,2229.33,2229.33,0.00,231.48,132.54,7.39
A_08_G272 21-12-25 12.00.11.Acc,25/12/2021,12:00,57.70,2.21,-0.01,13.43,2.31,2.02,0.00,0.00,0.00,0.00,593.95,2616.63,2616.63,0.00,202.50,132.48,3.07
A_08_G272 21-12-26 00.00.11.Acc,25/12/2021,14:55,57.02,2.28,0.08,12.15,1.25,1.93,0.00,0.00,0.00,0.00,605.71,1416.81,1416.81,0.00,203.34,139.83,3.39
A_08_G272 21-12-30 00.00.09.Acc,30/12/2021,0:00,54.89,2.24,0.28,12.52,-2.19,2.97,0.00,0.00,0.00,0.00,485.72,19.91,19.91,0.00,162.63,105.03,5.34
A_08_G272 21-12-30 12.00.09.Acc,30/12/2021,12:00,57.58,2.17,-0.06,13.40,2.05,2.01,0.00,0.00,0.00,0.00,586.65,2192.21,2192.21,0.00,231.48,130.47,5.52
A_08_G272 21-12-31 00.00.09.Acc,30/12/2021,17:00,58.13,1.81,0.06,13.37,1.32,1.94,0.00,0.00,0.00,0.00,628.65,2060.56,2060.56,0.00,231.48,142.06,4.08
A_08_G272 21-12-31 12.00.09.Acc,31/12/2021,12:00,57.67,2.21,0.03,12.60,1.98,1.89,0.00,0.00,0.00,0.00,610.63,3317.18,3317.18,0.00,212.25,139.14,1.00
