Date,"	Time",Detector,Cabinet,Ambient
1/12/2021,0:00,39.880001,28.17,21.23
1/12/2021,0:48,39.880001,28.17,21.26
1/12/2021,1:32,39.889999,27.790001,21.209999
1/12/2021,2:18,39.93,27.48,21.200001
1/12/2021,3:04,39.959999,27.370001,21.18
1/12/2021,3:52,39.91,27.4,21.16
1/12/2021,4:36,39.91,28.26,21.200001
1/12/2021,5:22,39.970001,28.02,21.18
1/12/2021,6:08,39.889999,27.73,21.18
1/12/2021,6:56,39.91,27.66,21.120001
1/12/2021,7:40,39.939999,27.4,21.120001
1/12/2021,8:26,39.91,27.6,21.1
1/12/2021,9:12,39.93,27.59,21.200001
1/12/2021,10:00,39.889999,27.889999,21.18
1/12/2021,10:44,39.939999,28.110001,21.16
1/12/2021,11:30,39.939999,27.889999,21.15
1/12/2021,12:16,39.959999,27.690001,21.129999
1/12/2021,13:02,39.91,27.51,21.18
1/12/2021,13:48,39.939999,27.370001,21.16
1/12/2021,14:34,39.889999,27.370001,21.030001
1/12/2021,15:20,39.860001,27.76,21.1
1/12/2021,16:06,39.939999,28,21.18
1/12/2021,16:52,39.91,27.83,21.120001
1/12/2021,17:38,39.91,27.530001,21.15
1/12/2021,18:24,39.970001,27.360001,21.15
1/12/2021,19:10,39.93,27.299999,21.24
1/12/2021,19:54,40.029999,28.190001,21.290001
1/12/2021,20:40,39.93,28.030001,21.299999
1/12/2021,21:26,39.91,27.77,21.32
1/12/2021,22:10,39.939999,27.559999,21.32
1/12/2021,22:56,39.93,28.32,21.360001
1/12/2021,23:42,39.91,28.32,21.33
2/12/2021,0:28,39.939999,27.92,21.35
2/12/2021,1:14,39.93,27.559999,21.360001
2/12/2021,2:00,39.91,27.85,21.43
2/12/2021,2:46,39.93,28.379999,21.41
2/12/2021,3:32,39.93,27.969999,21.4
2/12/2021,4:16,39.939999,27.450001,21.379999
2/12/2021,5:00,39.889999,28.370001,21.459999
2/12/2021,5:48,39.970001,28.34,21.43
2/12/2021,6:34,39.93,27.91,21.469999
2/12/2021,7:20,39.959999,27.620001,21.459999
2/12/2021,8:04,39.939999,28.09,21.49
2/12/2021,8:52,39.939999,28.379999,21.459999
2/12/2021,9:38,39.959999,28.110001,21.440001
2/12/2021,10:24,39.959999,27.629999,21.459999
2/12/2021,11:08,39.93,27.620001,21.459999
2/12/2021,11:56,39.91,28,21.5
2/12/2021,12:42,39.959999,28.26,21.469999
2/12/2021,13:28,39.93,27.91,21.459999
2/12/2021,14:12,39.939999,27.48,21.43
2/12/2021,15:00,39.959999,27.57,21.459999
2/12/2021,15:46,39.93,28.370001,21.469999
2/12/2021,16:30,39.91,27.66,21.41
2/12/2021,17:16,39.970001,27.42,21.43
2/12/2021,18:02,39.91,28.17,21.469999
2/12/2021,18:50,39.91,28.379999,21.559999
2/12/2021,19:34,39.93,27.73,21.58
2/12/2021,20:20,39.970001,27.559999,21.6
2/12/2021,21:06,39.91,28.290001,21.639999
2/12/2021,21:54,39.93,28.32,21.639999
2/12/2021,22:38,39.990002,27.65,21.58
2/12/2021,23:24,39.889999,27.969999,21.6
3/12/2021,0:10,39.93,28.280001,21.639999
3/12/2021,0:58,39.939999,27.889999,21.58
3/12/2021,1:42,39.93,27.59,21.549999
3/12/2021,2:28,39.91,28.370001,21.6
3/12/2021,3:14,39.939999,27.940001,21.58
3/12/2021,4:00,39.93,27.559999,21.549999
3/12/2021,4:44,40,28.219999,21.6
3/12/2021,5:30,39.959999,27.66,21.6
3/12/2021,6:16,39.990002,27.299999,21.58
3/12/2021,7:02,39.939999,28.25,21.6
3/12/2021,7:48,39.880001,27.74,21.559999
3/12/2021,8:34,39.959999,27.4,21.52
3/12/2021,9:20,39.970001,28.280001,21.559999
3/12/2021,10:06,39.889999,27.85,21.6
3/12/2021,10:52,39.959999,27.309999,21.530001
3/12/2021,11:38,39.939999,27.889999,21.530001
3/12/2021,12:24,39.959999,27.76,21.549999
3/12/2021,13:10,39.990002,27.23,21.530001
3/12/2021,13:56,39.990002,28.190001,21.58
3/12/2021,14:42,39.959999,27.629999,21.58
3/12/2021,15:28,39.939999,27.34,21.559999
3/12/2021,16:14,39.939999,28.219999,21.6
3/12/2021,17:00,39.91,27.690001,21.629999
3/12/2021,17:46,39.93,27.299999,21.6
3/12/2021,18:32,39.91,28.25,21.6
3/12/2021,19:18,39.939999,27.68,21.6
3/12/2021,20:02,40,27.530001,21.6
3/12/2021,20:50,39.970001,28.059999,21.6
3/12/2021,21:36,39.939999,27.92,21.58
3/12/2021,22:23,39.970001,27.48,21.58
3/12/2021,23:07,39.939999,28.26,21.690001
3/12/2021,23:55,39.970001,28.02,21.67
4/12/2021,0:41,39.939999,27.559999,21.67
4/12/2021,1:27,39.959999,27.42,21.639999
4/12/2021,2:11,39.93,28.049999,21.67
4/12/2021,2:59,39.970001,27.68,21.67
4/12/2021,3:45,39.939999,27.389999,21.6
4/12/2021,4:30,39.91,28.08,21.639999
4/12/2021,5:15,39.970001,27.42,21.6
4/12/2021,6:01,39.889999,28.15,21.66
4/12/2021,6:49,39.970001,27.99,21.639999
4/12/2021,7:33,39.959999,27.299999,21.6
4/12/2021,8:19,39.939999,28.25,21.67
4/12/2021,9:05,39.889999,27.73,21.639999
4/12/2021,9:53,39.970001,27.370001,21.6
4/12/2021,10:37,39.93,28.25,21.67
4/12/2021,11:23,39.970001,27.620001,21.629999
4/12/2021,12:09,39.939999,27.48,21.67
4/12/2021,12:57,39.93,28.17,21.66
4/12/2021,13:41,39.939999,27.360001,21.639999
4/12/2021,14:27,39.880001,27.99,21.67
4/12/2021,15:13,39.959999,27.77,21.67
4/12/2021,16:00,39.990002,27.360001,21.639999
4/12/2021,16:45,39.970001,28.219999,21.690001
4/12/2021,17:31,39.970001,27.709999,21.66
4/12/2021,18:17,39.959999,27.360001,21.66
4/12/2021,19:03,39.93,28,21.67
4/12/2021,19:49,39.970001,27.42,21.67
4/12/2021,20:35,39.939999,28.17,21.690001
4/12/2021,21:21,39.970001,27.799999,21.700001
4/12/2021,22:07,40,27.4,21.66
4/12/2021,22:53,39.91,28.309999,21.700001
4/12/2021,23:39,39.93,27.59,21.67
5/12/2021,0:25,39.939999,27.83,21.67
5/12/2021,1:11,39.939999,27.940001,21.66
5/12/2021,1:57,39.959999,27.42,21.6
5/12/2021,2:43,39.939999,28.049999,21.690001
5/12/2021,3:29,39.959999,27.790001,21.66
5/12/2021,4:15,39.959999,27.360001,21.629999
5/12/2021,5:00,39.959999,28.120001,21.629999
5/12/2021,5:47,39.990002,27.540001,21.6
5/12/2021,6:33,39.91,27.690001,21.639999
5/12/2021,7:19,39.91,28.030001,21.66
5/12/2021,8:03,39.959999,27.280001,21.6
5/12/2021,8:51,39.93,27.940001,21.66
5/12/2021,9:35,39.860001,27.790001,21.629999
5/12/2021,10:21,39.939999,27.299999,21.629999
5/12/2021,11:05,39.959999,27.889999,21.639999
5/12/2021,11:53,39.959999,27.459999,21.629999
5/12/2021,12:39,39.939999,27.76,21.639999
5/12/2021,13:25,39.959999,27.959999,21.639999
5/12/2021,14:09,39.970001,27.280001,21.629999
5/12/2021,14:57,39.939999,27.92,21.559999
5/12/2021,15:43,39.93,27.889999,21.530001
5/12/2021,16:29,39.939999,27.370001,21.459999
5/12/2021,17:13,39.91,28.219999,21.459999
5/12/2021,18:00,39.889999,27.83,21.43
5/12/2021,18:47,39.959999,27.450001,21.35
5/12/2021,19:31,39.889999,28,21.299999
5/12/2021,20:17,39.91,27.969999,21.290001
5/12/2021,21:03,39.93,27.540001,21.27
5/12/2021,21:51,39.990002,27.370001,21.290001
5/12/2021,22:35,39.939999,28.23,21.33
5/12/2021,23:21,39.91,27.860001,21.299999
6/12/2021,0:07,39.959999,27.59,21.27
6/12/2021,0:55,39.939999,27.43,21.299999
6/12/2021,1:39,39.939999,28.290001,21.290001
6/12/2021,2:25,39.93,27.959999,21.32
6/12/2021,3:11,39.959999,27.620001,21.299999
6/12/2021,3:59,39.93,27.450001,21.27
6/12/2021,4:43,39.93,28.17,21.299999
6/12/2021,5:29,39.970001,27.889999,21.299999
6/12/2021,6:15,39.970001,27.459999,21.27
6/12/2021,7:01,39.990002,27.690001,21.299999
6/12/2021,7:47,39.959999,28.190001,21.290001
6/12/2021,8:33,39.93,27.5,21.24
6/12/2021,9:19,39.970001,27.309999,21.200001
6/12/2021,10:05,39.91,28.120001,21.26
6/12/2021,10:51,39.939999,28,21.23
6/12/2021,11:37,39.91,27.6,21.200001
6/12/2021,12:23,39.959999,27.34,21.16
6/12/2021,13:09,39.91,27.709999,21.209999
6/12/2021,13:55,39.91,28.23,21.23
6/12/2021,14:41,39.939999,27.99,21.209999
6/12/2021,15:27,39.93,27.73,21.16
6/12/2021,16:13,39.959999,27.73,21.16
6/12/2021,16:59,39.93,27.48,21.120001
6/12/2021,17:45,39.889999,27.459999,21.129999
6/12/2021,18:31,39.959999,28.17,21.200001
6/12/2021,19:17,39.939999,28.049999,21.18
6/12/2021,20:01,39.91,27.57,21.16
6/12/2021,20:49,39.959999,27.43,21.200001
6/12/2021,21:35,39.889999,27.530001,21.209999
6/12/2021,22:21,39.970001,28.190001,21.27
6/12/2021,23:05,39.959999,27.66,21.23
6/12/2021,23:53,40,27.4,21.24
7/12/2021,0:39,39.970001,27.620001,21.26
7/12/2021,1:25,39.939999,28.17,21.24
7/12/2021,2:09,39.970001,27.360001,21.23
7/12/2021,2:57,39.93,27.299999,21.24
7/12/2021,3:43,39.939999,28.049999,21.27
7/12/2021,4:29,39.990002,28.23,21.27
7/12/2021,5:13,39.939999,27.65,21.27
7/12/2021,6:00,39.959999,27.389999,21.23
7/12/2021,6:47,39.959999,27.59,21.26
7/12/2021,7:31,39.93,28.059999,21.24
7/12/2021,8:17,39.970001,27.690001,21.26
7/12/2021,9:03,39.990002,27.280001,21.23
7/12/2021,9:51,39.959999,27.43,21.23
7/12/2021,10:35,39.939999,28.059999,21.299999
7/12/2021,11:21,39.970001,27.74,21.200001
7/12/2021,12:07,39.990002,27.370001,21.18
7/12/2021,12:55,39.959999,27.43,21.18
7/12/2021,13:39,39.939999,28.190001,21.23
7/12/2021,14:25,39.939999,27.85,21.16
7/12/2021,15:11,39.93,27.5,21.18
